,teamColor,label
88234,"첼시, 잉글랜드",341
88612,"TT, GR",42
88797,"독일, FC 바르셀로나",74
89015,"이탈리아 황금세대, 이탈리아",264
89046,"파리 생제르맹, 인테르",377
89071,"첼시, NHD",319
89088,"아스널, 보루시아 도르트문트",241
89185,"브라질, 맨체스터 시티",206
89417,"첼시, 아스널",337
89716,"브라질, 19TOTS",197
89937,포르투갈,380
90085,"첼시, 인테르",340
90115,"보루시아 도르트문트, 18",183
90131,"아스널, GR",234
90514,"왓퍼드, HOT",259
90814,"프랑스, 리버풀",410
91008,"보루시아 도르트문트, 19TOTS",185
91067,로마,102
91087,"맨체스터 시티, FC 바르셀로나",129
91141,"첼시, 브라질",335
91261,"리버풀, 19TOTS",111
91343,"프랑스, 바이에른 뮌헨",413
91377,"인테르, TT",279
91395,"독일, 19TOTS",72
91684,"인테르, 네덜란드",281
91967,"프랑스, 19TOTS",397
92103,"아스널, NHD",236
92104,"바이에른 뮌헨, 맨체스터 시티",161
92298,"아스널, HOT",235
92390,"아르헨티나 황금세대, 아르헨티나",226
92417,"바이에른 뮌헨, GR",155
92934,"맨체스터 시티, 독일",134
93250,"토트넘 홋스퍼, 벨기에",357
93371,"대한민국, K18",64
93726,"파리 생제르맹, 19TOTS",366
93798,"리버풀, 레알 마드리드",121
94149,"맨체스터 유나이티드, 레알 마드리드",149
94478,"잉글랜드, 레스터 시티",302
94595,"보루시아 도르트문트, GR",186
94797,"스페인, TB",219
95433,"리버풀, 18S",110
95907,"토트넘 홋스퍼, AC 밀란",346
96175,"첼시, 리버풀",327
96512,"독일, TC",79
96557,"잉글랜드, HOT",299
96795,"바이에른 뮌헨, 네덜란드",158
96824,"인테르, 레알 마드리드",283
96869,"첼시, GR",317
97152,"토트넘 홋스퍼, TT",352
97180,"파리 생제르맹, AC 밀란",367
97422,"인테르, 바이에른 뮌헨",287
97508,"바이엘 04 레버쿠젠, 레알 마드리드",170
97837,"리버풀, TT",118
97973,"독일, 18",70
98117,"토트넘 홋스퍼, HOT",348
98578,"맨체스터 시티, 리버풀",136
99188,"포르투갈, 맨체스터 시티",387
99458,"19TOTY, 18",8
99770,"VfL 볼프스부르크, HOT",44
100081,"토트넘 홋스퍼, 보루시아 도르트문트",359
100181,"아스널, FC 바르셀로나",233
101000,"TC, 18S",36
101562,"리버풀, FC 바르셀로나",113
101613,"토트넘 홋스퍼, 아스널",360
102306,"인테르, HOT",276
102888,"파리 생제르맹, GR",369
103473,"스페인 황금세대, 스페인",212
103560,"잉글랜드, AC 밀란",297
103774,"아스널, TC",237
104495,"아스널, 네덜란드",239
104811,18TOTY,5
105247,"맨체스터 시티, 레알 마드리드",135
105314,"첼시, 18S",312
105407,"포르투갈, 인테르",390
105409,"스페인 황금세대, FC 바르셀로나",211
105440,"바이엘 04 레버쿠젠, FC 바르셀로나",166
105471,"대한민국, 2002 대한민국",62
106694,"라치오, TC",82
106695,"토트넘 홋스퍼, 19TOTS",345
107051,"스페인, 발렌시아 CF",224
107421,"인테르, 맨체스터 유나이티드",286
107583,"스페인, TT",221
107674,"레알 마드리드, 19TOTY",90
107852,"잉글랜드, 2006 잉글랜드",296
107888,"브라질, TT",203
108188,"맨체스터 유나이티드, 맨체스터 시티",150
108386,"스페인, NHD",218
108474,"GR, FC 바르셀로나",21
108553,"네덜란드, TC",57
108555,"인테르, 이탈리아",291
108699,"인테르, 맨체스터 시티",285
108968,"맨체스터 시티, 17-18 MANCITY CHAMPIONS",124
108977,"보루시아 도르트문트, 바이에른 뮌헨",190
110127,"로마, 19TOTS",104
110955,"독일, 18S",71
111092,"인테르, 나폴리",280
111453,"네덜란드, HOT",55
111864,"RB 라이프치히, 18",33
112274,"첼시, 18",311
112339,"파리 생제르맹, FC 바르셀로나",368
112708,"맨체스터 시티, 18S",126
112744,"인테르, FC 바르셀로나",275
112756,"로마, GR",105
112857,"이탈리아, HOT",268
112908,"첼시, 19TOTS",313
113573,"파리 생제르맹, HOT",370
114113,"맨체스터 유나이티드, 대한민국",148
114162,"나폴리, 18S",46
114312,"독일, RB 라이프치히",77
114375,"파리 생제르맹, TC",371
114545,"이탈리아, TC",269
114666,"스페인, 19TOTS",215
114998,"맨체스터 시티, TC",132
116096,"대한민국, 18",60
116138,18.0,3
117053,"나폴리, HOT",47
118191,"맨체스터 시티, 18",125
118343,"토트넘 홋스퍼, TB",351
118963,"파리 생제르맹, 토트넘 홋스퍼",379
119125,"파리 생제르맹, 아약스",376
119265,"레알 마드리드, 18S",88
119386,"브라질, 18",195
119461,"아르헨티나, GR",227
121804,"바이에른 뮌헨, 맨체스터 유나이티드",162
122087,에버턴,255
123078,"대한민국, PSV",66
123195,"프랑스, LOSC 릴",403
123205,"FC 바르셀로나, 19TOTS",17
123478,"아틀레티코 마드리드, TC",252
123893,"포르투갈, HOT",384
125025,"보루시아 도르트문트, 바이엘 04 레버쿠젠",191
125310,"독일, 네덜란드",80
126419,"포르투갈, 19TOTS",381
127097,"아르헨티나, 대한민국",228
128303,"이탈리아, 19TOTS",265
128471,"스페인, 18S",214
128814,"NHD, FC 바르셀로나",29
128827,"맨체스터 유나이티드, NHD",144
129449,"아약스, FC 바르셀로나",245
130647,"잉글랜드, TC",300
130649,"네덜란드, 19TOTS",51
131210,"바이엘 04 레버쿠젠, 19TOTS",165
131544,"프랑스, 네덜란드",407
132493,"첼시, 라치오",324
134898,"첼시, 이탈리아",339
135530,"리버풀, 로마",122
136305,"인테르, NHD",277
136906,"브라질 황금세대, 브라질",194
136947,"첼시, 보루시아 도르트문트",334
137296,"첼시, 아틀레티코 마드리드",338
137750,"프랑스, 보루시아 도르트문트",414
138048,"아약스, 19TOTS",244
138670,벨기에,175
140333,"토트넘 홋스퍼, 아약스",361
141082,"포르투갈, 맨체스터 유나이티드",388
142608,"아틀레티코 마드리드, 맨체스터 시티",253
142759,VfL 볼프스부르크,43
143832,"첼시, 벨기에 황금세대",333
